Age_Range,Industry,Job_Title,Annual_Salary,Additional_Monetary_Compensation,Currency,Other_Currency,Country,State/Province,City,Total _Years_of _Professional_Experience,Total_Years_of_Professional_Field_Experience,Highest_Education,Gender
35-44,COMPUTING OR TECH,Business Intelligence Developer,65000,0,USD,NA,United States,Colorado,Lakewood,1 year or less,5-7 years,Some College,Woman
45-54,MANUFACTURING,Customer Service Manager,89000,4000,USD,NA,United States,New Jersey,Lakewood,21 - 30 years,31 - 40 years,College Degree,Woman
35-44,HEALTH CARE,Department Manager,130000,500,USD,NA,United States,New Jersey,Lakewood,11 - 20 years,1 year or less,Master'S Degree,Woman
25-34,ENGINEERING OR MANUFACTURING,Fleet Manager,98000,8000,USD,NA,United States,Colorado,Lakewood,8 - 10 years,8 - 10 years,College Degree,Man
35-44,NONPROFITS,Grants & Resource Specialist,39520,2000,USD,NA,United States,Washington,Lakewood,11 - 20 years,5-7 years,College Degree,Woman
25-34,COMPUTING OR TECH,Product Manager,68000,2000,USD,NA,United States,New Jersey,Lakewood,5-7 years,2 - 4 years,High School,Woman
35-44,NONPROFITS,Program Manager,80700,1500,USD,NA,United States,Colorado,Lakewood,11 - 20 years,1 year or less,Master'S Degree,Woman
35-44,RECRUITMENT OR HR,Recruiting Administration,55000,2200,USD,NA,United States,Colorado,Lakewood,5-7 years,5-7 years,College Degree,Woman
35-44,BUSINESS OR CONSULTING,Senior Biologist,80000,2000,USD,NA,United States,Colorado,Lakewood,11 - 20 years,11 - 20 years,Master'S Degree,Woman
55-64,MANUFACTURING,Senior Manager,125000,18000,USD,NA,United States,New Jersey,Lakewood,21 - 30 years,21 - 30 years,Master'S Degree,Woman
35-44,"MARKETING, ADVERTISING & PR",Senior Salesforce Marketing Cloud Engineer,135000,2000,USD,NA,United States,Colorado,Lakewood,11 - 20 years,11 - 20 years,Some College,Non-binary
35-44,"ACCOUNTING, BANKING & FINANCE",Technical Support Specialist,53955,1517,USD,NA,United States,Colorado,Lakewood,11 - 20 years,5-7 years,College Degree,Woman
25-34,SOCIAL WORK,Welcome Desk Ambassador,30200,2000,USD,NA,United States,Colorado,Lakewood,1 year or less,1 year or less,Some College,Woman
35-44,ENTERTAINMENT,Theatrical Assistant Ticket Office Coordinator,37514,2000,USD,NA,United States,Colorado,Lakewood (Live In Denver),11 - 20 years,8 - 10 years,College Degree,Woman
25-34,"MARKETING, ADVERTISING & PR",Marketing Coordinator,48500,2000,USD,NA,United States,Florida,Lakewood Ranch,2 - 4 years,2 - 4 years,College Degree,Woman
25-34,FREELANCE JOURNALISM,Assistant Editor,12000,0,USD,NA,United States,Colorado,"Lakewood, Co",2 - 4 years,2 - 4 years,College Degree,Man
35-44,ARCHITECTURE,Project Architect,58000,4000,USD,NA,United States,New Jersey,Lambertville,11 - 20 years,8 - 10 years,Master'S Degree,Woman
25-34,GOVERNMENT AND PUBLIC ADMINISTRATION,Team Manager And Policy Analyst,60320,2000,USD,NA,United States,Maryland,Lamham,5-7 years,5-7 years,College Degree,Woman
25-34,AGRICULTURE OR FORESTRY,Countryside Worker,19200,1000,GBP,NA,United Kingdom,Unknown,Lancashire,8 - 10 years,5-7 years,College Degree,Woman
45-54,COMPUTING OR TECH,Senior Ui Engineer,48000,1500,GBP,NA,United Kingdom,Unknown,Lancaster,11 - 20 years,11 - 20 years,Some College,Woman
55-64,COMPUTING OR TECH,Software Developer,29000,0,GBP,NA,United Kingdom,Unknown,Lancaster,31 - 40 years,2 - 4 years,College Degree,Man
45-54,COMPUTING OR TECH,"Technical Lead, Data Discovery",52000,3000,GBP,NA,United Kingdom,Unknown,Lancaster,11 - 20 years,8 - 10 years,Master'S Degree,Woman
25-34,HOSPITALITY & EVENTS,Assistant General Manager,45000,0,USD,NA,United States,Pennsylvania,Lancaster,11 - 20 years,11 - 20 years,College Degree,Man
25-34,"ACCOUNTING, BANKING & FINANCE",Biller,45000,2000,USD,NA,United States,Pennsylvania,Lancaster,5-7 years,2 - 4 years,Some College,Woman
35-44,COMPUTING OR TECH,Director Of Application Development,150000,0,USD,NA,United States,Pennsylvania,Lancaster,21 - 30 years,21 - 30 years,Some College,Man
35-44,HEALTH CARE,Head Athletic Trainer,49750,0,USD,NA,United States,Pennsylvania,Lancaster,11 - 20 years,11 - 20 years,College Degree,Woman
25-34,ENGINEERING OR MANUFACTURING,HR  Coordinator,36000,600,USD,NA,United States,Pennsylvania,Lancaster,8 - 10 years,2 - 4 years,Master'S Degree,Woman
25-34,RECRUITMENT OR HR,HR  Generalist,39000,2000,USD,NA,United States,Pennsylvania,Lancaster,5-7 years,5-7 years,Some College,Woman
35-44,EDUCATION (HIGHER EDUCATION),IT Director,133000,2000,USD,NA,United States,California,Lancaster,11 - 20 years,11 - 20 years,Master'S Degree,Man
35-44,HEALTH CARE,Pharmacy Technician,34000,2000,USD,NA,United States,Pennsylvania,Lancaster,11 - 20 years,8 - 10 years,Some College,Woman
25-34,BUSINESS OR CONSULTING,Program Specialist,85000,14000,USD,NA,United States,Pennsylvania,Lancaster,8 - 10 years,5-7 years,Master'S Degree,Woman
25-34,ENGINEERING OR MANUFACTURING,Quality Control Supervisor,55786,35000,USD,NA,United States,Pennsylvania,Lancaster,5-7 years,5-7 years,College Degree,Woman
35-44,GOVERNMENT AND PUBLIC ADMINISTRATION,Senior Accountant/Auditor,44000,0,USD,NA,United States,Pennsylvania,Lancaster,11 - 20 years,2 - 4 years,College Degree,Non-binary
25-34,"MARKETING, ADVERTISING & PR",Senior Editor,44000,2000,USD,NA,United States,Pennsylvania,Lancaster,5-7 years,5-7 years,College Degree,Woman
35-44,HEALTH CARE,Clinical Informatics,58000,1000,USD,NA,United States,Wisconsin,Lancaster,11 - 20 years,8 - 10 years,Master'S Degree,Woman
45-54,"ACCOUNTING, BANKING & FINANCE",Finanace Manager Regulatory Reporting,112000,10000,USD,NA,United States,Pennsylvania,Lancaster,21 - 30 years,11 - 20 years,Master'S Degree,Woman
25-34,EDUCATION (HIGHER EDUCATION),Hillel Director,57000,0,USD,NA,United States,Pennsylvania,Lancaster,5-7 years,5-7 years,Master'S Degree,Woman
25-34,HEALTH CARE,Physician Assistant,88000,2000,USD,NA,United States,Pennsylvania,Lancaster,1 year or less,1 year or less,Master'S Degree,Woman
35-44,HEALTH CARE,Clinical Psychologist,45753,2000,GBP,NA,United Kingdom,Unknown,Lancaster,11 - 20 years,11 - 20 years,"Professional Degree (MD, Jd, Etc.)",Woman
25-34,SUPPLY CHAIN,Account Developer,66500,0,USD,NA,United States,Pennsylvania,"Lancaster, Pa",2 - 4 years,1 year or less,College Degree,Woman
18-24,"MARKETING, ADVERTISING & PR",Internet Marketing Specialist,42000,700,USD,NA,United States,Pennsylvania,"Lancaster, Pa",2 - 4 years,2 - 4 years,College Degree,Woman
35-44,EDUCATION (PRIMARY/SECONDARY),High School Teacher,77000,2000,CAD,NA,Canada,British Columbia,Langley,11 - 20 years,8 - 10 years,College Degree,Man
25-34,HEALTH CARE,Veterinary Technician,55000,2000,CAD,NA,Canada,British Columbia,Langley,5-7 years,2 - 4 years,College Degree,Woman
35-44,HEALTH CARE,Director Of HR,88000,5000,USD,NA,United States,Maryland,Lanham,21 - 30 years,8 - 10 years,Master'S Degree,Woman
18-24,ENGINEERING OR MANUFACTURING,Junior Systems Engineer,78000,300,USD,NA,United States,Maryland,Lanham,1 year or less,1 year or less,College Degree,Man
35-44,RECRUITMENT OR HR,HR  Manager,57288,10000,USD,NA,United States,Pennsylvania,Lansdale,11 - 20 years,2 - 4 years,College Degree,Woman
25-34,ENGINEERING OR MANUFACTURING,Project Manager And Customer Service Manager,88000,8000,USD,NA,United States,Pennsylvania,Lansdale,5-7 years,5-7 years,College Degree,Woman
25-34,COMPUTING OR TECH,Software Dev 1,72000,2000,USD,NA,United States,Pennsylvania,Lansdale,2 - 4 years,2 - 4 years,College Degree,Woman
25-34,RECRUITMENT OR HR,Recruiter,60500,2000,USD,NA,United States,Pennsylvania,Lansdale,11 - 20 years,2 - 4 years,College Degree,Woman
35-44,EDUCATION (PRIMARY/SECONDARY),Special Education Teacher And Case Manager,74222,0,USD,NA,United States,Pennsylvania,Lansdowne,11 - 20 years,11 - 20 years,Master'S Degree,Woman
45-54,LAW,Administrative Law Specialist,125364,0,USD,NA,United States,Michigan,Lansing,11 - 20 years,11 - 20 years,"Professional Degree (MD, Jd, Etc.)",Man
35-44,"ACCOUNTING, BANKING & FINANCE",Administrative Support,50000,8000,USD,NA,United States,Michigan,Lansing,11 - 20 years,8 - 10 years,Some College,Woman
25-34,GOVERNMENT AND PUBLIC ADMINISTRATION,Analyst,65332,0,USD,NA,United States,Michigan,Lansing,11 - 20 years,1 year or less,College Degree,Woman
45-54,COMPUTING OR TECH,Business Analyst,76000,2000,USD,NA,United States,Michigan,Lansing,5-7 years,8 - 10 years,College Degree,Man
18-24,INSURANCE,Commercial Underwriter,63400,4000,USD,NA,United States,Michigan,Lansing,2 - 4 years,2 - 4 years,College Degree,Man
25-34,EDUCATION (HIGHER EDUCATION),Coordinator,53500,0,USD,NA,United States,Michigan,Lansing,8 - 10 years,5-7 years,College Degree,Woman
35-44,NONPROFITS,Credentialing Coordinator,39500,100,USD,NA,United States,Michigan,Lansing,5-7 years,2 - 4 years,Some College,Woman
45-54,GOVERNMENT  & PUBLIC ADMINISTRATION,Departmental Specialist,91700,2000,USD,NA,United States,Michigan,Lansing,11 - 20 years,11 - 20 years,Master'S Degree,Woman
35-44,GOVERNMENT AND PUBLIC ADMINISTRATION,Director Of Legislative And Public Affairs,90000,2000,USD,NA,United States,Michigan,Lansing,11 - 20 years,8 - 10 years,Master'S Degree,Woman
18-24,ENGINEERING OR MANUFACTURING,Environmental Health And Safety Specialist,67000,7000,USD,NA,United States,Michigan,Lansing,2 - 4 years,2 - 4 years,College Degree,Woman
25-34,GOVERNMENT AND PUBLIC ADMINISTRATION,Epidemiologist,55550,2000,USD,NA,United States,Michigan,Lansing,2 - 4 years,1 year or less,Master'S Degree,Woman
35-44,HOSPITALITY & EVENTS,Events Director,73000,2000,USD,NA,United States,Michigan,Lansing,11 - 20 years,8 - 10 years,College Degree,Woman
35-44,GOVERNMENT AND PUBLIC ADMINISTRATION,Financial Analyst,61800,0,USD,NA,United States,Michigan,Lansing,2 - 4 years,2 - 4 years,Master'S Degree,Woman
25-34,GOVERNMENT AND PUBLIC ADMINISTRATION,Fiscal Analyst,73000,0,USD,NA,United States,Michigan,Lansing,8 - 10 years,5-7 years,Master'S Degree,Woman
45-54,ENGINEERING OR MANUFACTURING,General Manager,80000,5000,USD,NA,United States,Michigan,Lansing,21 - 30 years,21 - 30 years,College Degree,Woman
45-54,GOVERNMENT  & PUBLIC ADMINISTRATION,Head Librarian,60000,0,USD,NA,United States,Michigan,Lansing,11 - 20 years,5-7 years,Master'S Degree,Woman
35-44,LIBRARIES,Head Of Public Services,62000,930,USD,NA,United States,Michigan,Lansing,11 - 20 years,8 - 10 years,Master'S Degree,Man
35-44,COMPUTING OR TECH,Internal Auditor,80000,5000,USD,NA,United States,Michigan,Lansing,11 - 20 years,11 - 20 years,Master'S Degree,Woman
25-34,LAW,Legal Secretary,55000,2000,USD,NA,United States,Michigan,Lansing,8 - 10 years,8 - 10 years,College Degree,Woman
35-44,GOVERNMENT AND PUBLIC ADMINISTRATION,Manager,110452,2000,USD,NA,United States,Michigan,Lansing,11 - 20 years,11 - 20 years,Master'S Degree,Woman
35-44,GOVERNMENT AND PUBLIC ADMINISTRATION,Museum Director,85000,0,USD,NA,United States,Michigan,Lansing,11 - 20 years,11 - 20 years,PH.D.,Woman
35-44,ENTERTAINMENT,Office Administrator,52000,1000,USD,NA,United States,Michigan,Lansing,11 - 20 years,5-7 years,Master'S Degree,Woman
25-34,NONPROFITS,Operations Director,46000,0,USD,NA,United States,Michigan,Lansing,5-7 years,5-7 years,Some College,Non-binary
25-34,INSURANCE,Predictive Modeler,68600,6000,USD,NA,United States,Michigan,Lansing,5-7 years,2 - 4 years,PH.D.,Woman
25-34,EDUCATION (HIGHER EDUCATION),Program Officer,80000,0,USD,NA,United States,Michigan,Lansing,2 - 4 years,2 - 4 years,PH.D.,Woman
25-34,ENGINEERING OR MANUFACTURING,Public Utilities Engineer,70000,0,USD,NA,United States,Michigan,Lansing,5-7 years,2 - 4 years,College Degree,Woman
25-34,EDUCATION (HIGHER EDUCATION),Research Assistant II,60000,5000,USD,NA,United States,Michigan,Lansing,8 - 10 years,5-7 years,Master'S Degree,Woman
25-34,COMPUTING OR TECH,Senior Software Engineer,72000,6000,USD,NA,United States,Michigan,Lansing,5-7 years,5-7 years,College Degree,Woman
25-34,INSURANCE,Senior Underwriter,65000,10000,USD,NA,United States,Michigan,Lansing,11 - 20 years,11 - 20 years,College Degree,Woman
25-34,INSURANCE,Supervisor,55500,18000,USD,NA,United States,Michigan,Lansing,2 - 4 years,2 - 4 years,College Degree,Woman
35-44,EDUCATION (HIGHER EDUCATION),Assistant Director Of Development,69000,0,USD,NA,United States,Michigan,Lansing,11 - 20 years,11 - 20 years,Master'S Degree,Woman
35-44,GOVERNMENT AND PUBLIC ADMINISTRATION,Educational Technology Manager,107000,0,USD,NA,United States,Michigan,Lansing,11 - 20 years,8 - 10 years,Master'S Degree,Woman
25-34,HOSPITALITY & EVENTS,Senior Event Specialist,56000,2000,USD,NA,United States,Michigan,Lansing,8 - 10 years,5-7 years,College Degree,Woman
35-44,GOVERNMENT AND PUBLIC ADMINISTRATION,Epidemiologist,65000,2000,USD,NA,United States,Michigan,Lansing,5-7 years,5-7 years,Master'S Degree,Woman
25-34,BIOTECH/FOOD SAFETY,Research Leader,66089,3000,USD,NA,United States,Michigan,Lansing,11 - 20 years,11 - 20 years,College Degree,Man
35-44,LAW,Senior Staff Attorney,65000,0,USD,NA,United States,Michigan,Lansing,11 - 20 years,11 - 20 years,"Professional Degree (MD, Jd, Etc.)",Woman
25-34,HEALTH CARE,Quality Assurance Engineer,77016,1000,USD,NA,United States,"Arizona, Hawaii, Illinois, Michigan, Utah, Wyoming","Lansing, Mi And Wfh Ypsilani Mi",5-7 years,5-7 years,College Degree,Woman
25-34,ENGINEERING OR MANUFACTURING,Mechanical Engineer,111000,13000,USD,NA,United States,Louisiana,Laplace,5-7 years,5-7 years,College Degree,Woman
45-54,EDUCATION (HIGHER EDUCATION),Associate Librarian,63686,15000,USD,NA,United States,Wyoming,Laramie,21 - 30 years,11 - 20 years,"Professional Degree (MD, Jd, Etc.)",Woman
45-54,RETAIL,Barista,29000,3000,USD,NA,United States,Wyoming,Laramie,21 - 30 years,2 - 4 years,Master'S Degree,Woman
25-34,EDUCATION (HIGHER EDUCATION),Digital Archivist,50128,2000,USD,NA,United States,Wyoming,Laramie,5-7 years,5-7 years,Master'S Degree,Woman
35-44,EDUCATION (HIGHER EDUCATION),Librarian,50004,0,USD,NA,United States,Wyoming,Laramie,11 - 20 years,5-7 years,Master'S Degree,Woman
18-24,NONPROFITS,Operations Manager,50000,0,USD,NA,United States,Wyoming,Laramie,2 - 4 years,2 - 4 years,College Degree,Man
25-34,EDUCATION (PRIMARY/SECONDARY),PLS Teacher,41000,2000,USD,NA,United States,Wyoming,Laramie,1 year or less,5-7 years,College Degree,Man
18-24,ENVIRONMENTAL CONSULTING,QA( Quality Assurance) /QC Coordinator,46000,6000,USD,NA,United States,Wyoming,Laramie,5-7 years,5-7 years,College Degree,Woman
25-34,AGRICULTURE OR FORESTRY,Seasonal Wildlife Biologist,39520,6000,USD,NA,United States,Wyoming,Laramie,11 - 20 years,8 - 10 years,College Degree,Woman
35-44,LAW,Attorney,99780,3000,USD,NA,United States,Texas,Laredo,5-7 years,5-7 years,"Professional Degree (MD, Jd, Etc.)",Woman
55-64,EDUCATION (HIGHER EDUCATION),Academic Success Coach,53000,0,USD,NA,United States,Maryland,Largo,21 - 30 years,2 - 4 years,College Degree,Woman
55-64,EDUCATION (HIGHER EDUCATION),Academic Success Coach,53000,0,USD,NA,United States,Maryland,Largo,31 - 40 years,2 - 4 years,College Degree,Woman
35-44,EDUCATION (HIGHER EDUCATION),Associate Director,65000,0,USD,NA,United States,Maryland,Largo,11 - 20 years,2 - 4 years,Master'S Degree,Woman
45-54,"MARKETING, ADVERTISING & PR",Senior Public Relations Manager,128000,0,USD,NA,United States,California,Larkspur,21 - 30 years,11 - 20 years,Some College,Man
45-54,"ACCOUNTING, BANKING & FINANCE",Senior/Project Accountant,80000,2000,USD,NA,United States,California,Larkspur,11 - 20 years,11 - 20 years,College Degree,Woman
25-34,OBLIGATORY MILITARY SERVICE,Soldier,2975,2000,EUR,NA,Cyprus,Larnaca District,Larnaca,2 - 4 years,1 year or less,College Degree,Man
35-44,RETAIL,"Store Manager For Small Store, 4 Employees",57000,4000,USD,NA,United States,Nevada,Las Begas,11 - 20 years,11 - 20 years,College Degree,Man
25-34,EDUCATION (HIGHER EDUCATION),Executive Assistant,44000,2000,USD,NA,United States,New Mexico,Las Cruces,5-7 years,5-7 years,College Degree,Man
25-34,NONPROFITS,Grant Writer,36000,300,USD,NA,United States,New Mexico,Las Cruces,2 - 4 years,2 - 4 years,Master'S Degree,Woman
45-54,SALES,Service Advisor,64000,1000,USD,NA,United States,New Mexico,Las Cruces,31 - 40 years,2 - 4 years,Some College,Man
35-44,GOVERNMENT AND PUBLIC ADMINISTRATION,Soil Scientist,82000,1000,USD,NA,United States,New Mexico,Las Cruces,11 - 20 years,11 - 20 years,Master'S Degree,Man
25-34,"LEISURE, SPORT & TOURISM",Vehicle Repair Supervisor,55600,1200,USD,NA,United States,New Mexico,Las Cruces,5-7 years,5-7 years,College Degree,Woman
35-44,COMPUTING OR TECH,Head Of Software Engineering,80000,8000,GBP,NA,Spain,Unknown,Las Palmas,11 - 20 years,11 - 20 years,High School,Man
25-34,EDUCATION (HIGHER EDUCATION),Academic Advisor,44000,2000,USD,NA,United States,Nevada,Las Vegas,8 - 10 years,8 - 10 years,Master'S Degree,Woman
35-44,GOVERNMENT AND PUBLIC ADMINISTRATION,Accountant II,71000,0,USD,NA,United States,Nevada,Las Vegas,11 - 20 years,11 - 20 years,College Degree,Woman
35-44,"LEISURE, SPORT & TOURISM",Administrative Assistant,31200,0,USD,NA,United States,Nevada,Las Vegas,11 - 20 years,1 year or less,College Degree,Woman
25-34,"ACCOUNTING, BANKING & FINANCE",Advisor Associate,72000,5000,USD,NA,United States,Nevada,Las Vegas,2 - 4 years,2 - 4 years,College Degree,Man
35-44,LAW,Associate,125000,2000,USD,NA,United States,Nevada,Las Vegas,11 - 20 years,5-7 years,"Professional Degree (MD, Jd, Etc.)",Woman
35-44,COMPUTING OR TECH,Business Systems Analyst,90000,9000,USD,NA,United States,Nevada,Las Vegas,8 - 10 years,2 - 4 years,Master'S Degree,Woman
35-44,HOSPITALITY & EVENTS,Casino Marketing Executive,80000,25000,USD,NA,United States,Nevada,Las Vegas,11 - 20 years,11 - 20 years,College Degree,Man
35-44,NONPROFITS,Chief Marketing And Development Officer,120000,10000,USD,NA,United States,Nevada,Las Vegas,11 - 20 years,8 - 10 years,College Degree,Man
18-24,UTILITIES & TELECOMMUNICATIONS,Commercial Interconnection Specialist,54000,0,USD,NA,United States,Nevada,Las Vegas,2 - 4 years,2 - 4 years,College Degree,Woman
25-34,COMPUTING OR TECH,Computer Technician I,38000,2000,USD,NA,United States,Nevada,Las Vegas,8 - 10 years,2 - 4 years,College Degree,Woman
35-44,GRANTWRITING CONSULTANTS,Content Director,94000,15000,USD,NA,United States,Nevada,Las Vegas,11 - 20 years,11 - 20 years,Master'S Degree,Woman
35-44,BUSINESS OR CONSULTING,Contract Manager,57500,3500,USD,NA,United States,Nevada,Las Vegas,11 - 20 years,11 - 20 years,Some College,Woman
35-44,HEALTH CARE,Ct Technologist,110000,3000,USD,NA,United States,Nevada,Las Vegas,21 - 30 years,11 - 20 years,Some College,Woman
35-44,ART & DESIGN,Design Director,85000,10000,USD,NA,United States,Nevada,Las Vegas,8 - 10 years,5-7 years,College Degree,Woman
35-44,"ACCOUNTING, BANKING & FINANCE",Director,130000,2000,USD,NA,United States,Nevada,Las Vegas,21 - 30 years,21 - 30 years,High School,Man
25-34,EDUCATION (HIGHER EDUCATION),Director of Gear Up Program,73000,0,USD,NA,United States,Nevada,Las Vegas,11 - 20 years,11 - 20 years,Master'S Degree,Woman
25-34,NONPROFITS,Director Of Marketing And Communications,55000,0,USD,NA,United States,Nevada,Las Vegas,5-7 years,5-7 years,College Degree,Woman
45-54,ENTERTAINMENT,Director Of Ticketing And Box Office,96000,0,USD,NA,United States,Nevada,Las Vegas,31 - 40 years,11 - 20 years,Master'S Degree,Woman
45-54,TRANSPORT OR LOGISTICS,Driver,25000,9000,USD,NA,United States,Nevada,Las Vegas,31 - 40 years,8 - 10 years,Some College,Man
25-34,COMPUTING OR TECH,Engineering Manager,142000,15000,USD,NA,United States,Nevada,Las Vegas,8 - 10 years,8 - 10 years,College Degree,Man
25-34,NONPROFITS,Fundraising Coordinator,53000,0,USD,NA,United States,Nevada,Las Vegas,8 - 10 years,2 - 4 years,College Degree,Woman
35-44,RETAIL,Genius Admin,55000,5000,USD,NA,United States,Nevada,Las Vegas,11 - 20 years,11 - 20 years,College Degree,Man
45-54,ART & DESIGN,Graphic Design,46300,2000,USD,NA,United States,Nevada,Las Vegas,21 - 30 years,21 - 30 years,College Degree,Woman
25-34,SOCIAL WORK,Homeless Outreach Worker,39500,2000,USD,NA,United States,Nevada,Las Vegas,2 - 4 years,2 - 4 years,College Degree,Woman
25-34,RECRUITMENT OR HR,Human Resources Assistant,35842,0,USD,NA,United States,Nevada,Las Vegas,5-7 years,2 - 4 years,Master'S Degree,Woman
35-44,GOVERNMENT AND PUBLIC ADMINISTRATION,Lab Scientist,95000,0,USD,NA,United States,Nevada,Las Vegas,11 - 20 years,11 - 20 years,College Degree,Man
25-34,NONPROFITS,"Manager, Digital Learning And Instructional Design",79950,2000,USD,NA,United States,Nevada,Las Vegas,8 - 10 years,8 - 10 years,Master'S Degree,Woman
35-44,LAW,Managing Counsel,178000,26700,USD,NA,United States,Nevada,Las Vegas,11 - 20 years,11 - 20 years,"Professional Degree (MD, Jd, Etc.)",Woman
55-64,MEDIA & DIGITAL,Managing Editor,63420,2000,USD,NA,United States,Nevada,Las Vegas,21 - 30 years,21 - 30 years,Some College,Woman
25-34,MARKET RESEARCH,Market Research Analyst,42000,3000,USD,NA,United States,Nevada,Las Vegas,2 - 4 years,2 - 4 years,College Degree,Woman
35-44,MEDIA & DIGITAL,Market Research Manager,58000,0,USD,NA,United States,Nevada,Las Vegas,11 - 20 years,11 - 20 years,College Degree,Man
25-34,NONPROFITS,Office Administrator / Grants Coordinator,31200,2000,USD,NA,United States,Nevada,Las Vegas,11 - 20 years,2 - 4 years,Some College,Woman
35-44,ENGINEERING OR MANUFACTURING,Office Coordinator,45000,10000,USD,NA,United States,Nevada,Las Vegas,21 - 30 years,8 - 10 years,College Degree,Woman
25-34,ART & DESIGN,Office Manager,58240,2000,USD,NA,United States,Nevada,Las Vegas,5-7 years,5-7 years,Some College,Woman
35-44,UNKNOWN,Office Manager,40000,2000,USD,NA,United States,Nevada,Las Vegas,11 - 20 years,11 - 20 years,High School,Woman
25-34,EDUCATION (HIGHER EDUCATION),Outreach Specialist,50000,2000,USD,NA,United States,Nevada,Las Vegas,8 - 10 years,8 - 10 years,Master'S Degree,Woman
25-34,INSURANCE,Private Client Advisor,65000,3000,USD,NA,United States,Nevada,Las Vegas,5-7 years,2 - 4 years,College Degree,Woman
25-34,EDUCATION (HIGHER EDUCATION),Project Coordinator,70000,2000,USD,NA,United States,Nevada,Las Vegas,11 - 20 years,8 - 10 years,Master'S Degree,Woman
25-34,EDUCATION (HIGHER EDUCATION),Senior Advisor,48300,0,USD,NA,United States,Nevada,Las Vegas,2 - 4 years,2 - 4 years,Master'S Degree,Woman
35-44,HOSPITALITY & EVENTS,Senior Analyst,54739,2690,USD,NA,United States,"Nevada, Oregon",Las Vegas,11 - 20 years,11 - 20 years,College Degree,Woman
25-34,RECRUITMENT OR HR,Senior Compensation Analyst,70000,5000,USD,NA,United States,Nevada,Las Vegas,8 - 10 years,2 - 4 years,College Degree,Woman
35-44,COMPUTING OR TECH,Site Reliability Engineer,140000,10000,USD,NA,United States,Nevada,Las Vegas,11 - 20 years,11 - 20 years,College Degree,Man
35-44,COMPUTING OR TECH,Software Verification & Validation Specialist,107100,2000,USD,NA,United States,Nevada,Las Vegas,11 - 20 years,11 - 20 years,College Degree,Man
35-44,"ACCOUNTING, BANKING & FINANCE",Staff Accountant/Transition Coordinator,40000,0,USD,NA,United States,Nevada,Las Vegas,11 - 20 years,1 year or less,College Degree,Man
35-44,COMPUTING OR TECH,Systems Administrator,64000,0,USD,NA,United States,Nevada,Las Vegas,8 - 10 years,5-7 years,Some College,Woman
35-44,RECRUITMENT OR HR,Talent Acquisition Partner,55,2000,USD,NA,United States,Nevada,Las Vegas,2 - 4 years,11 - 20 years,Master'S Degree,Woman
35-44,ENTERTAINMENT,Ticketing Manager,68900,2000,USD,NA,United States,Nevada,Las Vegas,11 - 20 years,8 - 10 years,College Degree,Woman
35-44,MEDIA & DIGITAL,User Experience (UX)/User Interface(UI) Designer,72000,2000,USD,NA,United States,Nevada,Las Vegas,21 - 30 years,11 - 20 years,College Degree,Woman
25-34,ARCHITECTURE,Architectural Designer,56000,2000,USD,NA,United States,Nevada,Las Vegas,2 - 4 years,2 - 4 years,College Degree,Woman
25-34,HEALTH CARE,Doctor- Resident,52000,0,USD,NA,United States,Nevada,Las Vegas,2 - 4 years,2 - 4 years,"Professional Degree (MD, Jd, Etc.)",Man
45-54,RECRUITMENT OR HR,HR  Director,170000,42500,USD,NA,United States,Nevada,Las Vegas,21 - 30 years,21 - 30 years,Some College,Woman
35-44,RETAIL,Sales,30000,2000,USD,NA,United States,Nevada,Las Vegas,11 - 20 years,8 - 10 years,College Degree,Woman
45-54,HEALTH CARE,Supply Chain Director,81000,12000,USD,NA,United States,Nevada,Las Vegas,21 - 30 years,11 - 20 years,Master'S Degree,Other \ prefer not to answer
25-34,UTILITIES & TELECOMMUNICATIONS,Warehouse Manager,42000,2000,USD,NA,United States,Nevada,Las Vegas,2 - 4 years,1 year or less,Some College,Man
25-34,COMPUTING OR TECH,Finance Manager,105000,5250,USD,NA,United States,Nevada,Las Vegas,11 - 20 years,8 - 10 years,Master'S Degree,Woman
25-34,ENVIRONMENTAL HEALTH AND SAFETY,Ehs Technician,52000,0,USD,NA,United States,New York,Latham,2 - 4 years,1 year or less,Master'S Degree,Woman
45-54,NONPROFITS,Expo Manager,52700,1000,USD,NA,United States,New York,Lathma,21 - 30 years,5-7 years,College Degree,Woman
18-24,ENTERTAINMENT,Assistant Manager,24960,2000,USD,NA,United States,Pennsylvania,Latrobe,5-7 years,5-7 years,High School,Man
25-34,GOVERNMENT AND PUBLIC ADMINISTRATION,Engineer,82000,0,AUD/NZD,AUD,Australia,Tasmania,Launceston,8 - 10 years,8 - 10 years,College Degree,Woman
45-54,HEALTH CARE,Clinical Nurse Consultant,106000,2000,AUD/NZD,NA,Australia,Tasmania,Launceston,21 - 30 years,21 - 30 years,Master'S Degree,Woman
35-44,LAW,Assistant,33280,1000,USD,NA,United States,Mississippi,Laurel,11 - 20 years,1 year or less,College Degree,Woman
25-34,HEALTH CARE,Board Certified Behavior Analyst,98000,2000,USD,NA,United States,Maryland,Laurel,8 - 10 years,8 - 10 years,Master'S Degree,Woman
35-44,COMPUTING OR TECH,Data Scientist,150000,0,USD,NA,United States,Maryland,Laurel,8 - 10 years,2 - 4 years,PH.D.,Woman
25-34,ENGINEERING OR MANUFACTURING,Engineer,125000,2000,USD,NA,United States,Maryland,Laurel,8 - 10 years,8 - 10 years,Master'S Degree,Man
