City,Industry,Average_Salary
Arlington,"EDUCATION (PRIMARY/SECONDARY)",58000.0000
Arlington,"TRANSPORT OR LOGISTICS",57340.0000
Arlington,"RELIGIOUS INSTITUTION",54080.0000
Arlington,ENTERTAINMENT,54000.0000
Arlington,"MARKETING, ADVERTISING & PR",53889.6667
Arlington,"LEISURE, SPORT & TOURISM",45000.0000
Arlington,"EDUCATION (HIGHER EDUCATION)",42000.0000
Arlington,"POLITICAL RESEARCH",40000.0000
"Arlington Heights","PUBLIC SAFETY",82550.0000
"Arlington Heights","ACCOUNTING, BANKING & FINANCE",60000.0000
"Arlington Heights","BUSINESS OR CONSULTING",40000.0000
"Arlington,","MEDIA & DIGITAL",58000.0000
"Arlington, VA","COMPUTING OR TECH",125000.0000
"Arlington, VA","GOVERNMENT AND PUBLIC ADMINISTRATION",81580.0000
Arnold,"EDUCATION (HIGHER EDUCATION)",80000.0000
"Arroyo Grande","ACCOUNTING, BANKING & FINANCE",75000.0000
"Arroyo Grande","MARKETING, ADVERTISING & PR",50000.0000
Arvada,"RECRUITMENT OR HR",107000.0000
Arvada,BIOTECHNOLOGY,82000.0000
Arvada,"EDUCATION (HIGHER EDUCATION)",59280.0000
"Asbury Park","MEDIA & DIGITAL",73000.0000
Ashburn,"COMPUTING OR TECH",120000.0000
Ashburn,"GOVERNMENT AND PUBLIC ADMINISTRATION",86500.0000
Ashburn,"ART & DESIGN",54000.0000
Asheboro,"EDUCATION (PRIMARY/SECONDARY)",54000.0000
Asheville,"EDUCATION (HIGHER EDUCATION)",145000.0000
Asheville,"COMPUTING OR TECH",98333.3333
Asheville,"PROPERTY OR CONSTRUCTION",95000.0000
Asheville,"HEALTH CARE",90000.0000
Asheville,"ENGINEERING OR MANUFACTURING",80000.0000
Asheville,SCIENCE,76000.0000
Asheville,"GOVERNMENT AND PUBLIC ADMINISTRATION",71000.0000
Asheville,"ART & DESIGN",63000.0000
Asheville,"BUSINESS OR CONSULTING",51000.0000
Asheville,NONPROFITS,35211.0000
Asheville,RETAIL,26000.0000
Ashford,"ENGINEERING OR MANUFACTURING",23000.0000
Ashland,"ACCOUNTING, BANKING & FINANCE",106600.0000
Ashland,"WHOLESALE - APPAREL",90000.0000
Ashland,MANUFACTURING,60800.0000
Ashland,"EDUCATION (PRIMARY/SECONDARY)",55200.0000
Ashland,"HEALTH CARE",43680.0000
Ashland,NONPROFITS,33050.0000
Ashland,INSURANCE,27000.0000
Asmara,"GOVERNMENT  & PUBLIC ADMINISTRATION",98000.0000
Aspen,"HOSPITALITY & EVENTS",107000.0000
Aspen,"PROPERTY OR CONSTRUCTION",65000.0000
Aston,MANUFACTURING,70000.0000
Atascadero,"TRANSPORT OR LOGISTICS",180000.0000
Athens,"ACCOUNTING, BANKING & FINANCE",80530.0000
Athens,"PROPERTY OR CONSTRUCTION",67500.0000
Athens,"EDUCATION (HIGHER EDUCATION)",59233.1667
Athens,"EDUCATION (PRIMARY/SECONDARY)",50000.0000
Athens,"COMPUTING OR TECH",49000.0000
Athens,"HEALTH CARE",43680.0000
Athens,"PUBLIC LIBRARY",40000.0000
Athens,"ENGINEERING OR MANUFACTURING",37000.0000
Athens,"GOVERNMENT & PUBLIC ADMINISTRATION",34000.0000
Athens,"MARKETING, ADVERTISING & PR",33000.0000
Athens,"ACADEMIA - STEM",32000.0000
Athens,RETAIL,31200.0000
Athens,"RECRUITMENT OR HR",16800.0000
Athens,"UTILITIES & TELECOMMUNICATIONS",10800.0000
Athlone,"MARKETING, ADVERTISING & PR",45000.0000
Athol,NONPROFITS,42500.0000
Atlanta,"REAL ESTATE",135000.0000
Atlanta,"GOVERNMENT  & PUBLIC ADMINISTRATION",111775.0000
Atlanta,"COMPUTING OR TECH",110602.2031
Atlanta,"HUMAN CAPITAL MANAGEMENT",108000.0000
Atlanta,"HOSPITALITY & EVENTS",106800.0000
Atlanta,"ENVIRONMENTAL CONSULTING",105000.0000
Atlanta,LAW,104323.5294
Atlanta,"BUSINESS OR CONSULTING",104069.4074
Atlanta,"HEALTH CARE",101175.5556
Atlanta,"ACCOUNTING, BANKING & FINANCE",97147.8261
Atlanta,"GOVERNMENT AND PUBLIC ADMINISTRATION",93767.3889
Atlanta,"UTILITIES & TELECOMMUNICATIONS",91750.0000
Atlanta,INSURANCE,91158.7500
Atlanta,"ENGINEERING OR MANUFACTURING",90333.6000
Atlanta,"MARKETING, ADVERTISING & PR",85310.5263
Atlanta,LIBRARIES,85200.0000
Atlanta,"TRANSPORT OR LOGISTICS",84583.3333
Atlanta,"MEDIA & DIGITAL",81428.5714
Atlanta,ENTERTAINMENT,78000.0000
Atlanta,"EDUCATION (HIGHER EDUCATION)",76522.0000
Atlanta,"WHOLESALE SUPPLIER",76147.0000
Atlanta,"COMMERCIAL REAL ESTATE",75000.0000
Atlanta,"PRIVATE EQUITY",75000.0000
Atlanta,POLITICS/CAMPAIGNS,72000.0000
Atlanta,"ART & DESIGN",70800.0000
Atlanta,RETAIL,70103.0000
Atlanta,CPG,68000.0000
Atlanta,SALES,65320.0000
Atlanta,SCIENCE,65000.0000
Atlanta,"RESTAURANT GROUP",63000.0000
Atlanta,"PROPERTY OR CONSTRUCTION",62265.4000
Atlanta,"RECRUITMENT OR HR",61416.7273
Atlanta,NONPROFITS,59950.0000
Atlanta,"SOCIAL WORK",59666.6667
Atlanta,"PUBLIC HEALTH",59000.0000
Atlanta,"EDUCATION (PRIMARY/SECONDARY)",55401.0000
Atlanta,"VIRTUAL REALITY",55000.0000
Atlanta,"LIBRARIES / ARCHIVES / INFORMATION",51000.0000
Atlanta,"WHOLESALE INDUSTRIAL & WELDING SUPPLIES & EQUIPMENT",50000.0000
Atlanta,"INTERIOR DESIGN (COMMERCIAL)",40000.0000
Atlanta,CHAPLAIN,40000.0000
Atlanta,"COLLEGE ATHLETICS",37500.0000
Atlanta,"I WORK AT A PROPERTY TAX MANAGEMENT COMPANY. NOT SURE WHERE THIS FITS IN. CONSULTING MAYBE?",37500.0000
Atlanta,"AWARDS  & ENGRAVING",35000.0000
Atlanta,RESEARCH,28500.0000
Atlanta,"BRAIN RESEARCH",28000.0000
Atlanta,RESTAURANT,15080.0000
Atlanta,"AGRICULTURE OR FORESTRY",10500.0000
Atlanta,"GRADUATE STUDENT",2350.0000
"Atlanta Metro Area","HEALTH CARE",124000.0000
"Atlanta Metro Area",NONPROFITS,73500.0000
"Atlanta Metro Area","GOVERNMENT  & PUBLIC ADMINISTRATION",69500.0000
"Atlanta Metro Area","MARKETING, ADVERTISING & PR",69500.0000
"Atlanta Metro Area","EDUCATION (HIGHER EDUCATION)",53000.0000
"Atlanta Suburb","GOVERNMENT AND PUBLIC ADMINISTRATION",91000.0000
"Atlanta, GA","MEDIA & DIGITAL",110000.0000
"Atlanta, GA","EDUCATION (HIGHER EDUCATION)",80020.0000
"Atlanta, GA","ENGINEERING OR MANUFACTURING",63000.0000
"Atlantic City","GOVERNMENT CONTRACTOR",62000.0000
"Atlantic City","GOVERNMENT  & PUBLIC ADMINISTRATION",58000.0000
