Industry,Gender,Highest_Education,Average_Salary
"AGRICULTURE OR FORESTRY",Woman,"Some College",46375.2222
"AGRICULTURE/AGRICULTURE CHEMICAL",Man,"College Degree",91112.0000
AIRLINE,Woman,"College Degree",80000.0000
AMERICORPS,Woman,"Master'S Degree",15400.0000
"ANALYTICAL CHEMISTRY",Woman,"College Degree",56000.0000
"ANALYTICAL LAB",Woman,"College Degree",30368.0000
ANALYTICS,Woman,"Master'S Degree",162000.0000
"ANIMAL CARE",Woman,"College Degree",32244.5000
"ANIMAL CARETAKER",Woman,"Some College",72800.0000
"ANIMAL HEALTH",Woman,"College Degree",72000.0000
"ANIMAL HEALTH INDUSTRY",Woman,"College Degree",127000.0000
"ANIMAL HEALTH PRODUCT MANUFACTURING",Woman,"College Degree",75000.0000
"ANIMAL WELFARE",Woman,"College Degree",82908.0000
ANIMATION,Woman,"College Degree",79000.0000
APPAREL,Woman,"College Degree",77500.0000
APPAREL,Woman,"Master'S Degree",125000.0000
"APPAREL DESIGN/PRODUCT DEVELOPMENT",Woman,"College Degree",52000.0000
"APPAREL MANUFACTURE",Woman,"Master'S Degree",66000.0000
ARCHAEOLOGIST,Man,"College Degree",48000.0000
ARCHAEOLOGY,Woman,"Master'S Degree",55000.0000
"ARCHAEOLOGY / CULTURAL RESOURCE MANAGEMENT",Woman,"Master'S Degree",79000.0000
"ARCHAEOLOGY/CULTURAL RESOURCE MANAGER","Other/Prefer not to answer","Master'S Degree",110000.0000
ARCHITECT,Woman,"College Degree",95250.0000
"ARCHITECTURAL/LAND PLANNING/CIVIL ENGINEERING",Woman,"College Degree",53500.0000
ARCHITECTURE,Man,"College Degree",58000.0000
ARCHITECTURE,Non-binary,"College Degree",53000.0000
ARCHITECTURE,"Other/Prefer not to answer","College Degree",48880.0000
ARCHITECTURE,Woman,"College Degree",74957.7778
ARCHITECTURE,Woman,"Master'S Degree",88500.0000
ARCHITECTURE,Woman,"Professional Degree (MD, Jd, Etc.)",96333.3333
"ARCHITECTURE / ENGINEERING",Woman,"College Degree",62860.0000
"ARCHITECTURE & CONSTRUCTION",Woman,"Master'S Degree",75000.0000
"ARCHITECTURE AND ENGINEERING CONSULTING AND DESIGN",Woman,"Master'S Degree",101000.0000
"ARCHITECTURE, ENGINEERING, CONSTRUCTION",Man,"Master'S Degree",150000.0000
ARCHITECTURE/CONSTRUCTION,Woman,"Master'S Degree",77400.0000
ARCHIVES,Woman,"College Degree",97282.0000
ARCHIVES,Woman,"Master'S Degree",57000.0000
ARCHIVES,Woman,PH.D.,40322.0000
ARCHIVES/LIBRARIES,Woman,"Master'S Degree",62271.0000
"ARCHIVES/LIBRARY SCIENCE",Woman,"Master'S Degree",52500.0000
"ART & DESIGN",Man,"College Degree",74416.2791
"ART & DESIGN",Man,"High School",52166.6667
"ART & DESIGN",Man,"Master'S Degree",75110.0000
"ART & DESIGN",Man,"Professional Degree (MD, Jd, Etc.)",33600.0000
"ART & DESIGN",Man,"Some College",57745.0000
"ART & DESIGN",Non-binary,"College Degree",64240.7857
"ART & DESIGN",Non-binary,"Some College",60440.0000
"ART & DESIGN","Other/Prefer not to answer","College Degree",63666.6667
"ART & DESIGN","Other/Prefer not to answer","High School",28000.0000
"ART & DESIGN","Other/Prefer not to answer","Master'S Degree",100000.0000
"ART & DESIGN",Woman,"College Degree",69590.1543
"ART & DESIGN",Woman,"Master'S Degree",72034.8529
"ART & DESIGN",Woman,PH.D.,37500.0000
"ART & DESIGN",Woman,"Professional Degree (MD, Jd, Etc.)",65000.0000
"ART & DESIGN",Woman,"Some College",65937.1429
"ART APPRAISAL",Woman,"College Degree",39000.0000
"ARTS ADMINISTRATION",Woman,"College Degree",61000.0000
"ARTS, CULTURE AND HERITAGE",Woman,"College Degree",27030.0000
ASSOCIATION,Woman,"College Degree",67000.0000
"ASSOCIATION MANAGEMENT",Woman,"College Degree",49000.0000
"ASSOCIATION MANAGEMENT",Woman,"Master'S Degree",68000.0000
"AUCTION HOUSE",Woman,"College Degree",55000.0000
"AUCTION HOUSE",Woman,"Master'S Degree",20000.0000
"AUTO MFG.",Man,"Some College",104000.0000
"AUTO REPAIR",Man,"Some College",50000.0000
"AUTO REPAIR",Non-binary,"Master'S Degree",31200.0000
"AUTO REPAIR",Woman,"College Degree",56000.0000
AUTOMOTIVE,Man,"College Degree",80000.0000
AUTOMOTIVE,Man,"High School",75000.0000
AUTOMOTIVE,Man,"Master'S Degree",51500.0000
AUTOMOTIVE,Woman,"College Degree",95700.0000
AUTOMOTIVE,Woman,"Master'S Degree",105000.0000
"AUTOMOTIVE FINANCE AND INSURANCE",Woman,"College Degree",87500.0000
"AUTOMOTIVE REPAIR",Woman,"Master'S Degree",31200.0000
"AUTOMOTIVE REPAIR",Woman,"Some College",39520.0000
"AUTOMOTIVE TECHNICIAN",Man,"High School",49000.0000
"AUTOMTIVE REPAIR",Woman,"High School",50000.0000
AVIATION,Man,"High School",28700.0000
AVIATION,Woman,"College Degree",52400.0000
AVIATION,Woman,"Master'S Degree",75000.0000
"AWARDS  & ENGRAVING",Woman,"High School",35000.0000
"B2B SERVICES",Woman,"Some College",115000.0000
"BACKGROUND SCREENING",Woman,"College Degree",69000.0000
BEAUTY,Woman,"College Degree",73700.0000
"BEAUTY /CPG",Woman,"Master'S Degree",131000.0000
"BEAUTY MANUFACTURING & EDUCATION",Woman,"College Degree",35360.0000
"BEAUTY, COSMETICS, FRAGRANCE",Woman,"College Degree",105000.0000
"BEAUTY/SERVICE INDUSTRY",Woman,"Some College",72800.0000
"BEER SALES",Man,"College Degree",60000.0000
"BEHAVIOR ANALYSIS/MENTAL HEALTH",Woman,"Master'S Degree",90000.0000
"BEHAVIORAL HEALTH",Man,"Professional Degree (MD, Jd, Etc.)",53560.0000
"BEHAVIORAL HEALTH",Woman,"Master'S Degree",52416.0000
"BENEFITS ADMINISTRATION",Man,"College Degree",108000.0000
"BENEFITS ADMINISTRATION",Woman,"College Degree",89000.0000
BEVERAGE,Woman,"Master'S Degree",67000.0000
"BEVERAGE & SPIRITS",Woman,"Master'S Degree",103000.0000
"BEVERAGE DISTRIBUTION",Woman,"Some College",40000.0000
"BEVERAGE PRODUCTION",Man,"College Degree",52600.0000
"BIO TECH",Woman,"College Degree",107250.0000
BIOINFORMATICS,Woman,"Master'S Degree",110000.0000
"BIOLOGICAL RESEARCH",Woman,"College Degree",34000.0000
"BIOLOGICAL RESEARCH",Woman,PH.D.,36364.0000
"BIOLOGICAL SCIENCES",Woman,"College Degree",78000.0000
BIOLOGIST,Woman,PH.D.,37000.0000
BIOLOGY,Man,"Some College",29000.0000
BIOLOGY/RESEARCH,Non-binary,"Master'S Degree",40000.0000
"BIOMEDICAL RESEARCH",Man,PH.D.,112500.0000
"BIOMEDICAL RESEARCH",Woman,"College Degree",66250.0000
"BIOMEDICAL RESEARCH",Woman,"Master'S Degree",60152.0000
"BIOMEDICAL RESEARCH",Woman,PH.D.,67142.5000
BIOPHARMA,Man,"College Degree",114000.0000
BIOPHARMA,Woman,"College Degree",103000.0000
BIOPHARMA,Woman,"Master'S Degree",175000.0000
BIOPHARMACEUTICALS,Woman,"Master'S Degree",150000.0000
"BIOSCIENCE COMPANY",Woman,"College Degree",47500.0000
BIOTECH,Man,"College Degree",70700.0000
BIOTECH,Man,"Master'S Degree",65000.0000
BIOTECH,Man,PH.D.,161266.6667
BIOTECH,Non-binary,"Master'S Degree",86000.0000
BIOTECH,Woman,"College Degree",85543.8235
BIOTECH,Woman,"High School",107000.0000
BIOTECH,Woman,"Master'S Degree",106825.1667
BIOTECH,Woman,PH.D.,117765.3846
"BIOTECH / PHARMACEUTICAL INDUSTRY",Woman,"Master'S Degree",160000.0000
"BIOTECH / RESEARCH",Man,"Master'S Degree",100000.0000
"BIOTECH MANUFACTURING",Woman,"College Degree",92000.0000
"BIOTECH PHARMACEUTICALS",Woman,"College Degree",116300.0000
"BIOTECH R&D",Woman,"College Degree",130000.0000
"BIOTECH RESEARCH",Woman,"Master'S Degree",80250.0000
"BIOTECH/DRUG DEVELOPMENT",Woman,"College Degree",90000.0000
"BIOTECH/FOOD SAFETY",Man,"College Degree",66089.0000
BIOTECH/PHARMA,Man,"Master'S Degree",81000.0000
BIOTECH/PHARMA,Man,PH.D.,130000.0000
BIOTECH/PHARMA,Woman,"College Degree",134500.0000
BIOTECH/PHARMA,Woman,"Master'S Degree",141000.0000
BIOTECH/PHARMA,Woman,PH.D.,138400.0000
BIOTECH/PHARMACEUTICALS,Woman,PH.D.,123000.0000
BIOTECH/SOFTWARE,Woman,"College Degree",105000.0000
BIOTECHNOLOGY,Man,"College Degree",66500.0000
BIOTECHNOLOGY,Man,"Master'S Degree",108800.0000
BIOTECHNOLOGY,Non-binary,"College Degree",49000.0000
BIOTECHNOLOGY,Woman,"College Degree",89600.0000
BIOTECHNOLOGY,Woman,PH.D.,100964.2857
"BIOTECHNOLOGY, RESEARCH AND DEVELOPMENT",Woman,"College Degree",95000.0000
"BIOTECHNOLOGY/LIFE SCIENCES",Woman,"Master'S Degree",84000.0000
BITECH,Woman,"College Degree",175000.0000
"BOOK PUBLISHING",Woman,"College Degree",61333.3333
"BOOK PUBLISHING",Woman,"Master'S Degree",47033.3333
"BRAIN RESEARCH",Woman,"College Degree",28000.0000
BREWING,Man,"College Degree",57000.0000
"BUSINESS  OR CONSULTING",Man,"College Degree",112000.0000
"BUSINESS  OR CONSULTING",Man,"Master'S Degree",80000.0000
"BUSINESS  OR CONSULTING",Non-binary,"College Degree",37440.0000
"BUSINESS  OR CONSULTING",Woman,"College Degree",70022.5000
"BUSINESS  OR CONSULTING",Woman,"Master'S Degree",75000.0000
"BUSINESS  OR CONSULTING",Woman,"Some College",6600.0000
"BUSINESS OR CONSULTING",Man,"College Degree",94828.4925
"BUSINESS OR CONSULTING",Man,"High School",54253.3333
"BUSINESS OR CONSULTING",Man,"Master'S Degree",96152.7778
"BUSINESS OR CONSULTING",Man,PH.D.,153000.0000
"BUSINESS OR CONSULTING",Man,"Professional Degree (MD, Jd, Etc.)",71107.0000
"BUSINESS OR CONSULTING",Man,"Some College",122034.2857
"BUSINESS OR CONSULTING",Non-binary,"College Degree",59644.6154
"BUSINESS OR CONSULTING",Non-binary,"Master'S Degree",121400.0000
"BUSINESS OR CONSULTING",Non-binary,PH.D.,112000.0000
"BUSINESS OR CONSULTING",Non-binary,"Some College",24000.0000
"BUSINESS OR CONSULTING","Other/Prefer not to answer","College Degree",87650.0000
"BUSINESS OR CONSULTING","Other/Prefer not to answer","Master'S Degree",83500.0000
"BUSINESS OR CONSULTING","Other/Prefer not to answer",PH.D.,170000.0000
"BUSINESS OR CONSULTING","Other/Prefer not to answer","Professional Degree (MD, Jd, Etc.)",157500.0000
"BUSINESS OR CONSULTING",Woman,"College Degree",87297.5886
"BUSINESS OR CONSULTING",Woman,"High School",57140.0000
"BUSINESS OR CONSULTING",Woman,"Master'S Degree",98334.4454
"BUSINESS OR CONSULTING",Woman,PH.D.,118240.1905
"BUSINESS OR CONSULTING",Woman,"Professional Degree (MD, Jd, Etc.)",136815.7895
"BUSINESS OR CONSULTING",Woman,"Some College",76723.6364
"BUSINESS PROCESS OUTSOURCING",Woman,"Master'S Degree",46840.0000
"BUSINESS SERVICES",Woman,"Master'S Degree",50000.0000
BUYER,Woman,"Some College",76650.0000
"CALL CENTER",Man,"College Degree",70000.0000
"CALL CENTER",Woman,"Some College",25480.0000
"CANCER RESEARCH, NOT FOR PROFIT",Woman,"Some College",71700.0000
CANNABIS,Man,"College Degree",65000.0000
CANNABIS,Woman,"College Degree",62333.3333
CANNABIS,Woman,"Master'S Degree",75000.0000
"CANNABIS COMPLIANCE",Woman,"Master'S Degree",100000.0000
"CAREER & TECHNICAL TRAINING",Woman,"Master'S Degree",46800.0000
CAREGIVER,Woman,"College Degree",33280.0000
"CBD MANUFACTURING",Woman,"College Degree",60000.0000
CHAPLAIN,Woman,"Professional Degree (MD, Jd, Etc.)",40000.0000
CHARITY,Woman,"Some College",17400.0000
CHEMICAL,Woman,PH.D.,110000.0000
"CHEMICAL MANUFACTURING",Woman,"College Degree",47902.0000
CHEMICALS,Woman,"Master'S Degree",102000.0000
"CHEMICALS/ MATERIALS",Woman,PH.D.,109400.0000
CHEMISTRY,Non-binary,"College Degree",41766.0000
CHEMISTRY,Non-binary,"Master'S Degree",70000.0000
CHEMISTRY,Woman,PH.D.,107000.0000
"CHILD AND YOUT CARE",Man,"College Degree",36672.0000
"CHILD CARE",Woman,"College Degree",40700.0000
"CHILD CARE",Woman,"Some College",38000.0000
"CHILD CARE RESOURCE AND REFERRAL AGENCY",Woman,"College Degree",3200.0000
CHILDCARE,Non-binary,"Some College",28100.0000
CHILDCARE,Woman,"College Degree",33805.0000
CHILDCARE,Woman,"Master'S Degree",90000.0000
"CHILDCARE (0-5 SO DOES NOT COME UNDER PRIMARY EDUCATION)",Woman,"College Degree",19760.0000
"CHILDREN'S BOOK WHOLESALE",Woman,"Master'S Degree",55000.0000
CHURCH,Man,"Master'S Degree",50000.0000
CHURCH,Woman,"College Degree",45000.0000
"CHURCH MINISTRY",Woman,"Master'S Degree",55000.0000
CLEANING,Woman,"High School",41600.0000
CLERGY,Man,"Master'S Degree",50000.0000
CLERGY,Woman,"College Degree",42000.0000
CLERGY,Woman,"Master'S Degree",63000.0000
CLERGY,Woman,"Professional Degree (MD, Jd, Etc.)",108150.0000
"CLINICAL & TRANSLATIONAL RESERACH",Woman,"College Degree",76000.0000
"CLINICAL RESEARCH",Woman,"College Degree",63775.3333
"CLINICAL RESEARCH",Woman,"Master'S Degree",92920.0000
"CLINICAL RESEARCH AND DEVELOPMENT",Woman,"College Degree",65000.0000
"CLINICAL RESEARCH MANAGER - ACADEMIC INSTITUTION",Woman,"College Degree",82000.0000
"CLINICAL TRIALS",Man,"College Degree",68000.0000
"CLINICAL TRIALS RESEARCH COORDINATION",Woman,"Master'S Degree",44000.0000
COACHING,Woman,"Master'S Degree",44000.0000
"COFFEE - IMPORTING",Non-binary,"College Degree",95000.0000
"COLLEGE ATHLETICS",Woman,"College Degree",37500.0000
"COMMERCIAL FISHERMAN",Man,"Some College",26000.0000
"COMMERCIAL FURNITURE",Woman,"High School",40000.0000
"COMMERCIAL LANDSCAPING",Woman,"Master'S Degree",42840.0000
"COMMERCIAL REAL ESTATE",Woman,"College Degree",80888.3333
"COMMERCIAL REAL ESTATE",Woman,"Some College",55000.0000
"COMMERCIAL REAL ESTATE - PRIVATE EQUITY",Woman,"Master'S Degree",72000.0000
"COMMERCIAL REAL ESTATE DATA  & ANALYTICS/RESEARCH",Woman,"College Degree",68700.0000
"COMMERCIAL REAL ESTATE TENANCY",Woman,"College Degree",43187.0000
"COMMODITIES TRADING",Woman,"College Degree",75000.0000
"COMMUNICATION RESEARCH",Woman,PH.D.,90456.0000
COMMUNICATIONS,Man,"College Degree",76500.0000
COMMUNICATIONS,Woman,"College Degree",55935.0000
COMMUNICATIONS,Woman,"Master'S Degree",23010.0000
COMMUNICATIONS,Woman,"Some College",100000.0000
COMMUNICATIONS/PUBLICATIONS,Woman,"College Degree",36920.0000
"COMMUNITY FOUNDATION",Woman,"Master'S Degree",84000.0000
"COMMUNITY MANAGEMENT",Woman,"Some College",64000.0000
COMPLIANCE,Woman,"College Degree",54313.0000
COMPLIANCE,Woman,"Professional Degree (MD, Jd, Etc.)",97500.0000
"COMPUTING  OR TECH",Man,"College Degree",115000.0000
"COMPUTING  OR TECH",Man,"High School",147000.0000
"COMPUTING  OR TECH",Man,"Master'S Degree",73000.0000
"COMPUTING  OR TECH",Man,"Some College",57560.0000
"COMPUTING  OR TECH",Non-binary,"College Degree",67275.0000
"COMPUTING  OR TECH",Woman,"College Degree",87513.3333
"COMPUTING  OR TECH",Woman,"Master'S Degree",113250.0000
"COMPUTING  OR TECH",Woman,PH.D.,165000.0000
"COMPUTING  OR TECH",Woman,"Some College",65000.0000
"COMPUTING OR TECH",Man,"College Degree",112695.6285
"COMPUTING OR TECH",Man,"High School",101640.5714
"COMPUTING OR TECH",Man,"Master'S Degree",117580.6454
"COMPUTING OR TECH",Man,PH.D.,117567.2353
"COMPUTING OR TECH",Man,"Professional Degree (MD, Jd, Etc.)",134714.2857
"COMPUTING OR TECH",Man,"Some College",105268.8603
"COMPUTING OR TECH",Non-binary,"College Degree",106677.6265
"COMPUTING OR TECH",Non-binary,"High School",85376.0000
"COMPUTING OR TECH",Non-binary,"Master'S Degree",106120.3448
"COMPUTING OR TECH",Non-binary,PH.D.,140000.0000
"COMPUTING OR TECH",Non-binary,"Some College",96490.5000
"COMPUTING OR TECH","Other/Prefer not to answer","College Degree",104654.2857
"COMPUTING OR TECH","Other/Prefer not to answer","High School",120000.0000
"COMPUTING OR TECH","Other/Prefer not to answer","Master'S Degree",117247.0588
"COMPUTING OR TECH","Other/Prefer not to answer","Professional Degree (MD, Jd, Etc.)",100000.0000
"COMPUTING OR TECH","Other/Prefer not to answer","Some College",109800.0000
"COMPUTING OR TECH",Woman,"College Degree",102194.3045
"COMPUTING OR TECH",Woman,"High School",80803.0435
"COMPUTING OR TECH",Woman,"Master'S Degree",107906.2020
"COMPUTING OR TECH",Woman,PH.D.,126885.7059
"COMPUTING OR TECH",Woman,"Professional Degree (MD, Jd, Etc.)",109717.0455
"COMPUTING OR TECH",Woman,"Some College",89273.5759
"COMPUTING/TECH + HIGHER ED + NONPROFIT",Non-binary,"Master'S Degree",81200.0000
CONCRETE,Woman,"College Degree",44000.0000
"CONCRETE CONSTRUCTION",Man,"Some College",28600.0000
CONSERVATION,Man,"Master'S Degree",36000.0000
CONSTRUCTION,Man,"College Degree",58333.3333
CONSTRUCTION,Man,"High School",60000.0000
CONSTRUCTION,Man,"Some College",69520.0000
CONSTRUCTION,Woman,"College Degree",71275.0000
CONSTRUCTION,Woman,"High School",116000.0000
CONSTRUCTION,Woman,"Some College",74000.0000
"CONSTRUCTION / STONE INDUSTRY",Woman,"High School",23000.0000
"CONSTRUCTION MANAGEMENT",Woman,"College Degree",60000.0000
"CONSTRUCTION, HVAC",Woman,"College Degree",62400.0000
"CONSTRUCTION, MINING, MANUFACTURING",Woman,"College Degree",80000.0000
CONSULTANT,Man,"College Degree",60000.0000
CONSULTING,Man,"Master'S Degree",100000.0000
CONSULTING,Non-binary,"Master'S Degree",92000.0000
CONSULTING,Woman,"College Degree",70000.0000
CONSULTING,Woman,"Master'S Degree",150000.0000
"CONSULTING / PROFESSIONAL SERVICES",Non-binary,"College Degree",50000.0000
"CONSULTING OPERATIONS- BIG 4",Woman,"College Degree",100000.0000
"CONSUMER FOOD PRODUCTS",Woman,"Master'S Degree",145000.0000
"CONSUMER GOOD (TOYS)",Woman,"College Degree",92000.0000
"CONSUMER GOODS",Man,"Master'S Degree",130000.0000
"CONSUMER GOODS",Woman,"College Degree",96333.3333
"CONSUMER GOODS",Woman,"Master'S Degree",77900.0000
"CONSUMER GOODS PRODUCTION",Woman,"College Degree",55000.0000
"CONSUMER PACKAGED GOODS",Man,"College Degree",90000.0000
"CONSUMER PACKAGED GOODS",Man,"Professional Degree (MD, Jd, Etc.)",160000.0000
"CONSUMER PACKAGED GOODS",Woman,"College Degree",106648.3333
"CONSUMER PACKAGED GOODS",Woman,PH.D.,134971.0000
"CONSUMER PRODUCT DESIGN",Man,"Master'S Degree",117000.0000
"CONSUMER PRODUCT GOODS",Woman,"College Degree",75000.0000
"CONSUMER PRODUCT ORGANIZATION",Woman,"Master'S Degree",85000.0000
"CONSUMER PRODUCTS",Woman,"Some College",147000.0000
"CONSUMER PRODUCTS DESIGN",Woman,"College Degree",69000.0000
"CONSUMER RESEARCH",Woman,PH.D.,97000.0000
"CONSUMER/PACKAGED GOODS",Woman,"College Degree",95000.0000
"CONTACT CENTER",Woman,"College Degree",75000.0000
"CONTENT REVIEW - COPYRIGHT/DMCA",Man,"Some College",51000.0000
"CONTRACT RESEARCH",Woman,PH.D.,105000.0000
"CONTRACT RESEARCH ORGANISATION",Woman,"College Degree",60121.0000
"CORPORATE ACCOUNTING IN DEATH CARE (FUNERAL & CEMETERY)",Woman,"Master'S Degree",103000.0000
"CORPORATE LEARNING AND DEVELOPMENT",Woman,"Master'S Degree",80000.0000
"CORPORATE SERVICE MANAGEMENT",Woman,"College Degree",66000.0000
"CORPORATE SUSTAINABILITY",Woman,"College Degree",86000.0000
"CORPORATE SUSTAINABILITY",Woman,"Master'S Degree",110000.0000
"CORPORATE TRAVEL INDUSTRY",Woman,"College Degree",91000.0000
COSMETOLOGY,Woman,"Some College",80000.0000
"COSTRUCTION ADMIN",Woman,"Some College",38000.0000
COUNSELING,Woman,"Master'S Degree",40000.0000
COUNSELLING,Woman,"Master'S Degree",90000.0000
CPG,Woman,"Some College",68000.0000
"CPG / RETAIL",Woman,"Master'S Degree",175000.0000
"CRAFT BEER INDUSTRY",Woman,"College Degree",70000.0000
"CULTURAL (MUSEUMS/GALLERIES)",Woman,"Master'S Degree",40000.0000
"CULTURAL HERITAGE",Woman,"Master'S Degree",60500.0000
"CULTURAL RESOURCE MANAGEMENT",Woman,"College Degree",56388.0000
"CULTURAL RESOURCES MANAGEMENT/MAJOR UNIV.",Woman,"Master'S Degree",30000.0000
CULTURE,Woman,"Master'S Degree",15000.0000
"CURRENTLY A STUDENT",Man,"Some College",0.0000
"CUSTOMER SERVICE",Man,"College Degree",41600.0000
"CUSTOMER SERVICE",Woman,"College Degree",44429.6667
"CUSTOMER SERVICE",Woman,"Some College",55.0000
"CUSTOMER SERVICE/CALL CENTER",Non-binary,"College Degree",40000.0000
"CUSTOMER SERVICE/PUBLISHING-ADJACENT",Woman,PH.D.,64500.0000
"DATA ANALYTICS",Man,"College Degree",55000.0000
